type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount
Dairy,356,Corporate,57,Refrigerated,Occasional,Winter,Buffet,Alexandria,Moderate,46
Meat,53,Festival,490,Refrigerated,Regular,Spring,Plated,Upper Egypt,Low,69
Bakery,476,Wedding,123,Room Temperature,Regular,Spring,Buffet,Mansoura,Low,45
Bakery,269,Festival,477,Room Temperature,Regular,Spring,Buffet,Alexandria,Low,84
Dairy,475,Wedding,140,Room Temperature,Regular,Winter,Finger Food,Delta,Moderate,72
Meat,252,Wedding,397,Refrigerated,Occasional,Winter,Buffet,Delta,High,19
Bakery,311,Birthday,407,Room Temperature,Regular,Winter,Buffet,Giza,Moderate,30
Vegetables,358,Birthday,127,Refrigerated,Occasional,Spring,Plated,Delta,Moderate,92
Bakery,379,Wedding,373,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,High,43
Fruits,352,Corporate,410,Frozen,Regular,Summer,Finger Food,Mansoura,Low,12
Fruits,475,Wedding,128,Frozen,Regular,Autumn,Plated,Delta,Moderate,64
Bakery,333,Corporate,510,Frozen,Regular,Summer,Plated,Mansoura,High,24
Meat,280,Corporate,401,Frozen,Regular,Autumn,Plated,Giza,Low,36
Dairy,274,Birthday,422,Room Temperature,Occasional,Spring,Finger Food,Alexandria,High,81
Meat,454,Wedding,117,Room Temperature,Regular,Autumn,Plated,Mansoura,Moderate,37
Bakery,497,Birthday,391,Refrigerated,Regular,Summer,Finger Food,Upper Egypt,High,89
Dairy,116,Corporate,367,Frozen,Occasional,Summer,Buffet,Upper Egypt,High,99
Bakery,97,Festival,570,Room Temperature,Regular,Summer,Finger Food,Giza,Low,48
Dairy,148,Birthday,190,Refrigerated,Regular,Summer,Buffet,Delta,High,99
Bakery,69,Wedding,184,Frozen,Occasional,Winter,Buffet,Giza,High,84
Vegetables,419,Festival,94,Room Temperature,Occasional,Winter,Finger Food,Delta,Moderate,100
Dairy,169,Birthday,366,Room Temperature,Regular,Summer,Plated,Delta,Moderate,64
Fruits,448,Festival,564,Frozen,Occasional,Winter,Buffet,Delta,Low,37
Meat,378,Festival,430,Frozen,Regular,Autumn,Buffet,Alexandria,Low,25
Fruits,280,Birthday,497,Refrigerated,Regular,Spring,Finger Food,Cairo,Moderate,11
Dairy,307,Wedding,291,Room Temperature,Regular,Summer,Buffet,Cairo,Moderate,17
Fruits,455,Birthday,190,Refrigerated,Occasional,Spring,Plated,Giza,High,65
Dairy,365,Corporate,131,Refrigerated,Occasional,Winter,Buffet,Delta,High,82
Bakery,266,Corporate,345,Refrigerated,Occasional,All Seasons,Buffet,Giza,Moderate,86
Bakery,284,Corporate,163,Room Temperature,Regular,Autumn,Plated,Giza,High,23
Fruits,269,Corporate,411,Refrigerated,Occasional,Winter,Plated,Upper Egypt,Low,72
Fruits,84,Corporate,449,Room Temperature,Regular,Spring,Finger Food,Alexandria,High,7
Fruits,453,Corporate,403,Refrigerated,Regular,Autumn,Plated,Alexandria,Low,10
Fruits,329,Wedding,229,Frozen,Occasional,Spring,Plated,Giza,Low,13
Dairy,68,Wedding,256,Refrigerated,Regular,All Seasons,Finger Food,Alexandria,High,55
Bakery,292,Wedding,87,Frozen,Regular,Summer,Finger Food,Cairo,High,47
Fruits,113,Wedding,497,Room Temperature,Occasional,Spring,Finger Food,Giza,Moderate,93
Dairy,238,Wedding,134,Frozen,Occasional,All Seasons,Finger Food,Delta,Low,74
Fruits,214,Corporate,131,Room Temperature,Occasional,Summer,Finger Food,Delta,High,59
Vegetables,403,Festival,409,Room Temperature,Regular,Summer,Plated,Mansoura,Moderate,86
Meat,88,Festival,422,Frozen,Regular,All Seasons,Buffet,Delta,High,61
Meat,114,Corporate,291,Frozen,Occasional,Summer,Finger Food,Delta,Low,82
Vegetables,397,Festival,429,Room Temperature,Occasional,All Seasons,Plated,Giza,High,51
Dairy,210,Wedding,305,Refrigerated,Regular,Winter,Finger Food,Delta,Moderate,76
Meat,184,Wedding,506,Refrigerated,Occasional,Spring,Buffet,Cairo,Low,14
Dairy,138,Festival,139,Frozen,Occasional,Summer,Plated,Cairo,High,74
Fruits,203,Birthday,228,Room Temperature,Regular,All Seasons,Buffet,Giza,Low,68
Meat,234,Wedding,528,Frozen,Regular,Autumn,Buffet,Cairo,Moderate,55
Dairy,319,Festival,469,Frozen,Regular,Winter,Finger Food,Upper Egypt,Low,62
Dairy,398,Wedding,181,Frozen,Regular,Winter,Finger Food,Delta,Low,20
Bakery,128,Wedding,218,Refrigerated,Occasional,Winter,Finger Food,Delta,Moderate,15
Fruits,150,Wedding,178,Frozen,Occasional,Autumn,Plated,Cairo,High,87
Vegetables,353,Birthday,225,Frozen,Occasional,Autumn,Buffet,Cairo,Low,10
Bakery,185,Birthday,476,Frozen,Regular,Spring,Plated,Delta,Moderate,87
Fruits,297,Birthday,465,Room Temperature,Occasional,All Seasons,Plated,Cairo,Low,61
Dairy,297,Festival,258,Room Temperature,Regular,Summer,Plated,Alexandria,High,49
Dairy,116,Wedding,577,Frozen,Regular,Summer,Buffet,Mansoura,Low,39
Dairy,176,Birthday,149,Refrigerated,Occasional,Spring,Plated,Mansoura,Low,25
Fruits,345,Wedding,244,Refrigerated,Occasional,Autumn,Finger Food,Mansoura,Moderate,68
Meat,96,Festival,567,Room Temperature,Regular,Winter,Plated,Alexandria,Low,11
Fruits,303,Festival,342,Frozen,Regular,All Seasons,Finger Food,Giza,Moderate,98
Fruits,441,Festival,424,Refrigerated,Occasional,All Seasons,Plated,Delta,Low,51
Bakery,197,Corporate,445,Frozen,Occasional,Autumn,Finger Food,Delta,High,83
Meat,115,Corporate,453,Room Temperature,Occasional,Autumn,Finger Food,Giza,Low,82
Bakery,255,Corporate,96,Refrigerated,Regular,Summer,Finger Food,Delta,Moderate,24
Bakery,313,Birthday,385,Frozen,Occasional,Winter,Finger Food,Delta,High,43
Bakery,222,Festival,356,Room Temperature,Regular,Summer,Finger Food,Upper Egypt,Low,58
Bakery,207,Corporate,535,Room Temperature,Regular,All Seasons,Plated,Mansoura,Low,72
Bakery,446,Festival,201,Frozen,Regular,All Seasons,Plated,Upper Egypt,Low,29
Meat,275,Wedding,478,Refrigerated,Occasional,Winter,Finger Food,Delta,High,65
Meat,411,Birthday,581,Refrigerated,Occasional,Spring,Plated,Mansoura,Moderate,27
Dairy,322,Wedding,412,Frozen,Occasional,Autumn,Finger Food,Giza,Low,40
Bakery,202,Birthday,354,Room Temperature,Regular,Spring,Finger Food,Mansoura,Moderate,76
Fruits,197,Corporate,438,Room Temperature,Occasional,Winter,Finger Food,Cairo,Moderate,96
Meat,227,Festival,312,Frozen,Occasional,Winter,Buffet,Delta,Moderate,76
Fruits,120,Corporate,295,Refrigerated,Regular,Autumn,Buffet,Upper Egypt,Low,11
Meat,261,Wedding,533,Refrigerated,Regular,All Seasons,Plated,Giza,Moderate,88
Dairy,294,Birthday,344,Room Temperature,Occasional,All Seasons,Buffet,Upper Egypt,High,34
Bakery,428,Corporate,229,Room Temperature,Regular,All Seasons,Finger Food,Mansoura,Low,100
Fruits,498,Corporate,59,Room Temperature,Regular,Summer,Finger Food,Mansoura,High,74
Bakery,302,Birthday,566,Room Temperature,Occasional,Winter,Buffet,Alexandria,Low,98
Dairy,381,Wedding,240,Refrigerated,Occasional,Summer,Plated,Upper Egypt,Low,27
Bakery,488,Festival,487,Frozen,Occasional,All Seasons,Finger Food,Upper Egypt,Low,28
Vegetables,294,Wedding,304,Refrigerated,Occasional,Spring,Buffet,Mansoura,Moderate,47
Fruits,348,Corporate,317,Frozen,Occasional,Winter,Buffet,Upper Egypt,Low,64
Fruits,131,Festival,564,Frozen,Occasional,All Seasons,Plated,Alexandria,Moderate,83
Vegetables,162,Birthday,539,Refrigerated,Occasional,Autumn,Finger Food,Mansoura,High,75
Dairy,437,Birthday,303,Frozen,Regular,Autumn,Finger Food,Delta,High,51
Meat,338,Corporate,113,Frozen,Regular,Autumn,Plated,Giza,Low,46
Bakery,276,Corporate,260,Frozen,Occasional,All Seasons,Plated,Mansoura,Low,63
Vegetables,312,Festival,517,Frozen,Regular,Autumn,Finger Food,Upper Egypt,Moderate,97
Meat,252,Wedding,53,Frozen,Regular,Autumn,Buffet,Cairo,Moderate,49
Meat,327,Corporate,120,Room Temperature,Regular,Summer,Finger Food,Giza,Low,87
Dairy,241,Festival,509,Room Temperature,Occasional,All Seasons,Plated,Upper Egypt,High,22
Fruits,110,Birthday,600,Room Temperature,Regular,Winter,Buffet,Cairo,Moderate,64
Bakery,267,Festival,285,Refrigerated,Occasional,Summer,Buffet,Alexandria,Low,97
Meat,66,Festival,66,Refrigerated,Regular,All Seasons,Buffet,Delta,Low,62
Bakery,394,Corporate,300,Frozen,Regular,Spring,Finger Food,Giza,High,32
Meat,121,Wedding,289,Frozen,Occasional,Autumn,Plated,Upper Egypt,Moderate,35
Fruits,498,Birthday,583,Refrigerated,Occasional,Summer,Finger Food,Cairo,High,80
Vegetables,370,Festival,557,Refrigerated,Occasional,Spring,Plated,Alexandria,High,58
Dairy,126,Wedding,435,Refrigerated,Occasional,Winter,Buffet,Alexandria,High,23
Dairy,79,Festival,476,Frozen,Regular,Spring,Buffet,Alexandria,Low,47
Meat,280,Wedding,144,Frozen,Regular,All Seasons,Finger Food,Mansoura,High,82
Bakery,70,Corporate,242,Frozen,Regular,Spring,Buffet,Alexandria,Moderate,6
Vegetables,147,Corporate,540,Refrigerated,Regular,Spring,Buffet,Delta,Moderate,41
Dairy,288,Wedding,365,Room Temperature,Occasional,Autumn,Finger Food,Mansoura,Low,97
Dairy,439,Wedding,258,Room Temperature,Occasional,Spring,Buffet,Delta,Low,99
Vegetables,58,Wedding,477,Room Temperature,Regular,Winter,Finger Food,Giza,Moderate,77
Vegetables,305,Wedding,313,Room Temperature,Occasional,Spring,Buffet,Upper Egypt,Moderate,26
Vegetables,418,Festival,238,Frozen,Regular,Autumn,Buffet,Cairo,High,11
Meat,261,Birthday,286,Refrigerated,Regular,All Seasons,Buffet,Delta,Moderate,52
Meat,366,Festival,549,Refrigerated,Regular,Autumn,Plated,Mansoura,Low,7
Bakery,419,Wedding,598,Room Temperature,Regular,Autumn,Plated,Upper Egypt,Moderate,27
Meat,99,Birthday,296,Refrigerated,Occasional,Summer,Finger Food,Mansoura,Low,52
Dairy,285,Birthday,281,Room Temperature,Regular,All Seasons,Buffet,Mansoura,Moderate,53
Bakery,293,Corporate,59,Frozen,Regular,All Seasons,Finger Food,Mansoura,High,47
Bakery,489,Corporate,590,Refrigerated,Regular,Winter,Plated,Delta,Moderate,39
Meat,88,Wedding,83,Refrigerated,Occasional,All Seasons,Buffet,Delta,Low,96
Dairy,89,Wedding,216,Frozen,Regular,Autumn,Finger Food,Upper Egypt,High,47
Dairy,436,Birthday,130,Frozen,Occasional,All Seasons,Buffet,Mansoura,Low,14
Fruits,359,Festival,384,Refrigerated,Occasional,Spring,Finger Food,Giza,Moderate,75
Dairy,271,Birthday,439,Refrigerated,Occasional,Winter,Plated,Cairo,Low,39
Vegetables,244,Birthday,448,Room Temperature,Occasional,All Seasons,Buffet,Cairo,Moderate,61
Fruits,439,Wedding,154,Refrigerated,Regular,Winter,Finger Food,Mansoura,High,76
Bakery,258,Corporate,76,Refrigerated,Occasional,Autumn,Buffet,Delta,High,46
Dairy,56,Wedding,473,Room Temperature,Regular,Autumn,Buffet,Delta,High,26
Dairy,136,Birthday,325,Room Temperature,Occasional,Spring,Buffet,Cairo,Low,60
Fruits,265,Wedding,545,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,High,68
Bakery,365,Birthday,518,Refrigerated,Regular,Summer,Buffet,Mansoura,Moderate,84
Dairy,461,Wedding,500,Room Temperature,Occasional,Autumn,Buffet,Alexandria,Moderate,82
Vegetables,295,Wedding,231,Room Temperature,Occasional,Summer,Plated,Upper Egypt,High,67
Bakery,450,Birthday,383,Room Temperature,Occasional,Spring,Finger Food,Cairo,High,30
Bakery,329,Birthday,77,Frozen,Occasional,Winter,Finger Food,Alexandria,High,13
Dairy,394,Festival,192,Frozen,Occasional,Winter,Finger Food,Upper Egypt,Low,96
Dairy,454,Festival,125,Room Temperature,Occasional,Autumn,Finger Food,Delta,High,93
Dairy,328,Corporate,418,Frozen,Regular,All Seasons,Buffet,Upper Egypt,High,50
Vegetables,381,Corporate,459,Room Temperature,Occasional,All Seasons,Buffet,Cairo,Moderate,33
Bakery,432,Birthday,506,Room Temperature,Occasional,Spring,Plated,Delta,High,69
Vegetables,226,Corporate,544,Refrigerated,Occasional,Spring,Buffet,Cairo,High,23
Fruits,209,Wedding,516,Refrigerated,Occasional,Summer,Finger Food,Cairo,Moderate,97
Dairy,213,Corporate,357,Refrigerated,Regular,All Seasons,Finger Food,Upper Egypt,Low,91
Vegetables,429,Birthday,578,Refrigerated,Regular,Summer,Plated,Mansoura,Moderate,34
Dairy,372,Birthday,240,Frozen,Occasional,Spring,Buffet,Upper Egypt,High,30
Dairy,353,Festival,448,Refrigerated,Regular,Winter,Finger Food,Upper Egypt,Low,78
Meat,459,Birthday,424,Room Temperature,Regular,Spring,Buffet,Alexandria,High,67
Bakery,377,Wedding,447,Frozen,Occasional,Autumn,Buffet,Alexandria,Moderate,63
Bakery,138,Wedding,136,Frozen,Regular,Summer,Buffet,Giza,Moderate,19
Vegetables,241,Birthday,573,Room Temperature,Occasional,Autumn,Buffet,Delta,Moderate,59
Vegetables,299,Birthday,220,Room Temperature,Occasional,Winter,Buffet,Alexandria,Moderate,84
Meat,493,Wedding,59,Room Temperature,Regular,Winter,Finger Food,Delta,High,88
Dairy,259,Festival,475,Frozen,Occasional,Spring,Buffet,Cairo,High,8
Vegetables,199,Corporate,331,Refrigerated,Occasional,Winter,Finger Food,Delta,High,68
Bakery,311,Corporate,166,Room Temperature,Occasional,Autumn,Buffet,Upper Egypt,Moderate,74
Vegetables,267,Corporate,303,Room Temperature,Regular,Spring,Finger Food,Alexandria,Low,61
Meat,447,Birthday,264,Frozen,Occasional,Autumn,Plated,Mansoura,Low,83
Vegetables,451,Birthday,261,Refrigerated,Occasional,Autumn,Finger Food,Delta,High,26
Fruits,410,Wedding,346,Frozen,Occasional,Autumn,Plated,Cairo,Low,57
Meat,191,Birthday,185,Refrigerated,Regular,Summer,Buffet,Upper Egypt,Moderate,67
Vegetables,345,Wedding,474,Room Temperature,Occasional,All Seasons,Plated,Cairo,Moderate,70
Fruits,405,Wedding,515,Room Temperature,Occasional,Autumn,Buffet,Upper Egypt,Low,98
Dairy,375,Wedding,114,Frozen,Occasional,Winter,Finger Food,Giza,Moderate,39
Fruits,474,Wedding,395,Frozen,Regular,Autumn,Finger Food,Alexandria,High,11
Meat,100,Festival,66,Refrigerated,Regular,Spring,Finger Food,Cairo,Moderate,30
Vegetables,382,Wedding,212,Room Temperature,Regular,Summer,Finger Food,Cairo,Moderate,90
Vegetables,76,Festival,362,Frozen,Regular,Spring,Plated,Cairo,High,17
Meat,159,Festival,129,Refrigerated,Regular,Autumn,Plated,Mansoura,Low,6
Fruits,468,Corporate,482,Frozen,Regular,Spring,Buffet,Giza,Moderate,16
Meat,102,Wedding,426,Room Temperature,Regular,Spring,Buffet,Upper Egypt,High,23
