NGO_name,location,needed_quantity,food_type,contact
Charity_107,Upper Egypt,173,Fruits,+20-1953152858
Charity_108,Delta,254,Dairy,+20-1901946435
Charity_109,Mansoura,103,Fruits,+20-1450357670
Charity_110,Alexandria,189,Dairy,+20-1116935610
Charity_111,Alexandria,175,Bakery,+20-1265615076
Charity_112,Mansoura,70,Bakery,+20-1569674465
Charity_113,Mansoura,488,Fruits,+20-1902878197
Charity_114,Mansoura,374,Vegetables,+20-1632331787
Charity_115,Giza,74,Fruits,+20-1904647951
Charity_116,Giza,252,Fruits,+20-1770069531
Charity_117,Delta,82,Meat,+20-1743494332
Charity_118,Upper Egypt,128,Bakery,+20-1981554550
Charity_119,Alexandria,259,Dairy,+20-1893372662
Charity_120,Upper Egypt,399,Vegetables,+20-1962235694
Charity_121,Delta,236,Meat,+20-1283301143
Charity_122,Cairo,500,Fruits,+20-1444652149
Charity_123,Upper Egypt,485,Vegetables,+20-1698163109
Charity_124,Giza,490,Meat,+20-1823248462
Charity_125,Mansoura,282,Fruits,+20-1443624866
Charity_126,Delta,121,Meat,+20-1270418799
Charity_127,Mansoura,143,Dairy,+20-1378981328
Charity_128,Giza,360,Fruits,+20-1526989497
Charity_129,Mansoura,378,Bakery,+20-1386683631
Charity_130,Alexandria,433,Dairy,+20-1102714084
Charity_131,Mansoura,337,Bakery,+20-1934041342
Charity_132,Cairo,475,Dairy,+20-1991351746
Charity_133,Alexandria,92,Bakery,+20-1848362992
Charity_134,Delta,101,Bakery,+20-1642102655
Charity_135,Cairo,283,Dairy,+20-1502271249
Charity_136,Alexandria,85,Vegetables,+20-1714810201
Charity_137,Upper Egypt,402,Fruits,+20-1420979374
Charity_138,Cairo,456,Fruits,+20-1748556509
Charity_139,Giza,223,Vegetables,+20-1821752427
Charity_140,Cairo,269,Fruits,+20-1765625990
Charity_141,Delta,141,Bakery,+20-1915330243
Charity_142,Upper Egypt,439,Vegetables,+20-1655499523
Charity_143,Upper Egypt,222,Bakery,+20-1610960165
Charity_144,Alexandria,275,Dairy,+20-1566404531
Charity_145,Alexandria,244,Fruits,+20-1725292387
Charity_146,Cairo,296,Meat,+20-1488313090
Charity_147,Alexandria,205,Bakery,+20-1382741969
Charity_148,Upper Egypt,456,Vegetables,+20-1785742036
Charity_149,Alexandria,163,Dairy,+20-1676646026
Charity_150,Mansoura,386,Dairy,+20-1209359090
Charity_151,Alexandria,490,Dairy,+20-1959748394
Charity_152,Delta,139,Vegetables,+20-1879454950
Charity_153,Cairo,474,Bakery,+20-1385219633
Charity_154,Delta,489,Meat,+20-1622780076
Charity_155,Mansoura,405,Vegetables,+20-1420467011
Charity_156,Cairo,227,Vegetables,+20-1486484788
Charity_157,Delta,287,Dairy,+20-1234206305
Charity_158,Cairo,389,Meat,+20-1217885943
Charity_159,Cairo,220,Fruits,+20-1596437722
Charity_160,Mansoura,489,Vegetables,+20-1923022843
Charity_161,Alexandria,364,Fruits,+20-1358118876
Charity_162,Upper Egypt,86,Fruits,+20-1845428502
Charity_163,Delta,297,Vegetables,+20-1285702339
Charity_164,Alexandria,237,Dairy,+20-1637387937
Charity_165,Alexandria,255,Fruits,+20-1211521396
Charity_166,Giza,225,Fruits,+20-1795954125
Charity_167,Upper Egypt,374,Dairy,+20-1431808353
Charity_168,Cairo,251,Bakery,+20-1453045244
Charity_169,Upper Egypt,241,Dairy,+20-1329777179
Charity_170,Delta,390,Fruits,+20-1262831498
Charity_171,Giza,490,Vegetables,+20-1675962281
Charity_172,Alexandria,240,Fruits,+20-1693443888
Charity_173,Cairo,477,Bakery,+20-1943699457
Charity_174,Alexandria,298,Bakery,+20-1423638533
Charity_175,Mansoura,235,Bakery,+20-1204927181
Charity_176,Upper Egypt,259,Dairy,+20-1147578908
Charity_177,Giza,453,Bakery,+20-1930445270
Charity_178,Alexandria,371,Meat,+20-1933969528
Charity_179,Giza,260,Vegetables,+20-1355911507
Charity_180,Giza,429,Fruits,+20-1576783883
Charity_181,Cairo,203,Meat,+20-1599305000
Charity_182,Cairo,178,Dairy,+20-1966363382
Charity_183,Delta,277,Meat,+20-1373251640
Charity_184,Upper Egypt,302,Bakery,+20-1625209840
Charity_185,Upper Egypt,464,Vegetables,+20-1412293724
Charity_186,Cairo,334,Fruits,+20-1866269878
Charity_187,Alexandria,342,Fruits,+20-1144818105
Charity_188,Delta,414,Vegetables,+20-1636134020
Charity_189,Alexandria,240,Dairy,+20-1139813931
Charity_190,Cairo,286,Meat,+20-1305045498
Charity_191,Delta,472,Dairy,+20-1208204128
Charity_192,Cairo,89,Dairy,+20-1473591936
Charity_193,Delta,397,Meat,+20-1807653295
Charity_194,Cairo,438,Meat,+20-1570652648
Charity_195,Upper Egypt,68,Dairy,+20-1593934037
Charity_196,Delta,454,Fruits,+20-1716997878
Charity_197,Cairo,300,Bakery,+20-1564367736
Charity_198,Upper Egypt,355,Vegetables,+20-1668011655
Charity_199,Alexandria,210,Meat,+20-1527208012
Charity_200,Upper Egypt,129,Meat,+20-1904512999
Charity_201,Alexandria,346,Vegetables,+20-1813589993
Charity_202,Delta,444,Bakery,+20-1555503305
Charity_203,Mansoura,255,Vegetables,+20-1478967068
Charity_204,Giza,454,Dairy,+20-1622705078
Charity_205,Giza,238,Fruits,+20-1855088496
Charity_206,Delta,354,Dairy,+20-1148828886
Charity_207,Mansoura,79,Dairy,+20-1237532507
Charity_208,Giza,323,Bakery,+20-1330208899
Charity_209,Alexandria,448,Meat,+20-1329384746
Charity_210,Giza,460,Fruits,+20-1980761249
Charity_211,Cairo,435,Vegetables,+20-1757228527
Charity_212,Cairo,88,Fruits,+20-1303540138
Charity_213,Cairo,359,Dairy,+20-1432739139
Charity_214,Giza,302,Fruits,+20-1759799861
Charity_215,Giza,271,Dairy,+20-1821954037
Charity_216,Giza,210,Dairy,+20-1864791379
Charity_217,Upper Egypt,340,Dairy,+20-1574195992
Charity_218,Cairo,405,Fruits,+20-1658517601
Charity_219,Cairo,150,Meat,+20-1813171907
Charity_220,Cairo,283,Vegetables,+20-1963924852
Charity_221,Alexandria,446,Dairy,+20-1491655300
Charity_222,Delta,466,Vegetables,+20-1518578816
Charity_223,Cairo,312,Vegetables,+20-1467976839
Charity_224,Giza,392,Dairy,+20-1354782376
Charity_225,Upper Egypt,291,Bakery,+20-1383915098
Charity_226,Upper Egypt,448,Meat,+20-1251924223
Charity_227,Delta,492,Bakery,+20-1519124621
Charity_228,Mansoura,348,Meat,+20-1194983900
Charity_229,Giza,394,Vegetables,+20-1310586614
Charity_230,Giza,88,Fruits,+20-1772831310
Charity_231,Upper Egypt,135,Fruits,+20-1270796560
Charity_232,Mansoura,92,Meat,+20-1728762664
Charity_233,Mansoura,454,Bakery,+20-1709465264
Charity_234,Giza,481,Fruits,+20-1969743735
Charity_235,Delta,492,Fruits,+20-1523391898
Charity_236,Alexandria,281,Fruits,+20-1775573615
Charity_237,Upper Egypt,189,Dairy,+20-1499755720
Charity_238,Upper Egypt,159,Vegetables,+20-1502421988
Charity_239,Upper Egypt,469,Fruits,+20-1400823845
Charity_240,Alexandria,89,Meat,+20-1659174581
Charity_241,Cairo,458,Bakery,+20-1814825057
Charity_242,Upper Egypt,225,Meat,+20-1329597323
Charity_243,Mansoura,280,Vegetables,+20-1648906908
Charity_244,Cairo,401,Fruits,+20-1255031661
Charity_245,Cairo,155,Bakery,+20-1986405524
Charity_246,Upper Egypt,379,Bakery,+20-1207661176
Charity_247,Upper Egypt,353,Vegetables,+20-1577341760
Charity_248,Upper Egypt,269,Bakery,+20-1423097753
Charity_249,Cairo,324,Fruits,+20-1633279331
Charity_250,Cairo,183,Dairy,+20-1820223816
Charity_251,Giza,134,Meat,+20-1179994634
Charity_252,Alexandria,388,Bakery,+20-1361810586
Charity_253,Giza,174,Fruits,+20-1386649296
Charity_254,Cairo,99,Meat,+20-1298195656
Charity_255,Mansoura,136,Bakery,+20-1322327712
Charity_256,Mansoura,55,Vegetables,+20-1101738851
Charity_257,Delta,296,Dairy,+20-1412544635
Charity_258,Mansoura,297,Meat,+20-1886316777
Charity_259,Delta,55,Dairy,+20-1810173108
Charity_260,Upper Egypt,297,Dairy,+20-1216401532
Charity_261,Delta,171,Dairy,+20-1505033079
Charity_262,Giza,429,Bakery,+20-1500695256
Charity_263,Cairo,297,Dairy,+20-1802448013
Charity_264,Mansoura,402,Meat,+20-1783445927
Charity_265,Mansoura,144,Meat,+20-1635783912
Charity_266,Giza,71,Fruits,+20-1685833703
Charity_267,Delta,482,Bakery,+20-1523861585
Charity_268,Delta,75,Fruits,+20-1210571823
Charity_269,Delta,249,Bakery,+20-1338768340
Charity_270,Cairo,165,Vegetables,+20-1515669761
Charity_271,Alexandria,385,Fruits,+20-1954532354
Charity_272,Mansoura,181,Bakery,+20-1561064446
Charity_273,Mansoura,202,Meat,+20-1732243160
Charity_274,Delta,92,Dairy,+20-1139733784
Charity_275,Alexandria,417,Vegetables,+20-1754151548
Charity_276,Upper Egypt,60,Dairy,+20-1942487295
Charity_277,Alexandria,457,Bakery,+20-1135637879
Charity_278,Delta,418,Dairy,+20-1792749155
Charity_279,Cairo,167,Fruits,+20-1240325588
Charity_280,Alexandria,466,Meat,+20-1857167893
Charity_281,Delta,280,Meat,+20-1232481302
Charity_282,Delta,85,Fruits,+20-1699849352
Charity_283,Delta,101,Vegetables,+20-1526389360
Charity_284,Delta,122,Bakery,+20-1520112061
Charity_285,Mansoura,55,Dairy,+20-1397718559
Charity_286,Giza,110,Fruits,+20-1364787805
Charity_287,Cairo,356,Vegetables,+20-1784635297
Charity_288,Mansoura,423,Vegetables,+20-1938548183
Charity_289,Alexandria,137,Dairy,+20-1954580714
Charity_290,Cairo,121,Vegetables,+20-1221420441
Charity_291,Mansoura,342,Meat,+20-1690990656
Charity_292,Upper Egypt,311,Dairy,+20-1493889731
Charity_293,Alexandria,313,Meat,+20-1252003776
Charity_294,Delta,168,Vegetables,+20-1929683109
Charity_295,Alexandria,329,Vegetables,+20-1911754549
Charity_296,Delta,473,Fruits,+20-1306291716
Charity_297,Upper Egypt,479,Bakery,+20-1785883028
Charity_298,Cairo,52,Dairy,+20-1488788775
Charity_299,Mansoura,172,Fruits,+20-1190689340
Charity_300,Mansoura,209,Fruits,+20-1372431012
Charity_301,Mansoura,343,Vegetables,+20-1928379283
Charity_302,Upper Egypt,411,Fruits,+20-1231122932
Charity_303,Cairo,498,Vegetables,+20-1888560979
Charity_304,Cairo,205,Meat,+20-1967376347
Charity_305,Cairo,127,Bakery,+20-1362576565
Charity_306,Giza,94,Bakery,+20-1454784757
Charity_307,Alexandria,312,Bakery,+20-1858634790
Charity_308,Mansoura,339,Bakery,+20-1112814508
Charity_309,Giza,223,Bakery,+20-1587259523
Charity_310,Cairo,302,Dairy,+20-1187451877
Charity_311,Mansoura,408,Meat,+20-1306422125
Charity_312,Cairo,226,Dairy,+20-1637211316
Charity_313,Mansoura,79,Bakery,+20-1425842831
Charity_314,Cairo,116,Fruits,+20-1850166555
Charity_315,Mansoura,52,Fruits,+20-1200097076
Charity_316,Mansoura,179,Bakery,+20-1968819669
Charity_317,Giza,439,Bakery,+20-1734148327
Charity_318,Alexandria,156,Vegetables,+20-1581270450
Charity_319,Mansoura,336,Fruits,+20-1223805985
Charity_320,Delta,282,Dairy,+20-1591242358
Charity_321,Mansoura,493,Dairy,+20-1165112794
Charity_322,Cairo,248,Fruits,+20-1340991350
Charity_323,Alexandria,216,Bakery,+20-1957960619
Charity_324,Upper Egypt,282,Vegetables,+20-1185930369
Charity_325,Upper Egypt,440,Dairy,+20-1916370466
Charity_326,Giza,72,Vegetables,+20-1342449056
Charity_327,Giza,185,Bakery,+20-1949592974
Charity_328,Mansoura,433,Dairy,+20-1457911424
Charity_329,Mansoura,185,Fruits,+20-1224887333
Charity_330,Cairo,204,Bakery,+20-1401620687
Charity_331,Delta,489,Meat,+20-1729909212
Charity_332,Alexandria,408,Dairy,+20-1878851291
Charity_333,Giza,481,Meat,+20-1681325221
Charity_334,Cairo,226,Dairy,+20-1120974168
Charity_335,Alexandria,482,Fruits,+20-1274158708
Charity_336,Mansoura,76,Dairy,+20-1738180055
Charity_337,Delta,234,Bakery,+20-1871074443
Charity_338,Alexandria,461,Dairy,+20-1544052965
Charity_339,Cairo,103,Meat,+20-1155002408
Charity_340,Mansoura,344,Dairy,+20-1521126592
Charity_341,Alexandria,280,Fruits,+20-1411309968
Charity_342,Upper Egypt,430,Fruits,+20-1549175816
Charity_343,Alexandria,286,Vegetables,+20-1649472420
Charity_344,Delta,454,Dairy,+20-1262887371
Charity_345,Giza,248,Bakery,+20-1325580609
Charity_346,Alexandria,309,Fruits,+20-1388152727
Charity_347,Upper Egypt,62,Vegetables,+20-1722738059
Charity_348,Cairo,361,Bakery,+20-1376833320
Charity_349,Upper Egypt,244,Bakery,+20-1474601470
Charity_350,Upper Egypt,263,Meat,+20-1565867862
Charity_351,Mansoura,420,Bakery,+20-1882665318
Charity_352,Delta,143,Dairy,+20-1172670133
Charity_353,Giza,315,Vegetables,+20-1539984049
Charity_354,Delta,293,Meat,+20-1770869311
Charity_355,Mansoura,275,Dairy,+20-1571407952
Charity_356,Delta,241,Dairy,+20-1143894791
Charity_357,Upper Egypt,155,Bakery,+20-1706665007
Charity_358,Mansoura,123,Dairy,+20-1339252357
Charity_359,Mansoura,289,Bakery,+20-1297286769
Charity_360,Upper Egypt,463,Dairy,+20-1174903247
Charity_361,Upper Egypt,452,Meat,+20-1159242764
Charity_362,Mansoura,438,Vegetables,+20-1483959761
Charity_363,Cairo,116,Bakery,+20-1741103254
Charity_364,Mansoura,138,Vegetables,+20-1809409274
Charity_365,Cairo,258,Bakery,+20-1801323114
Charity_366,Giza,197,Vegetables,+20-1276054417
Charity_367,Giza,148,Vegetables,+20-1155711888
Charity_368,Giza,160,Bakery,+20-1732849071
Charity_369,Giza,179,Fruits,+20-1507039662
Charity_370,Cairo,453,Dairy,+20-1974450336
Charity_371,Upper Egypt,64,Dairy,+20-1707736561
Charity_372,Alexandria,412,Vegetables,+20-1830199142
Charity_373,Cairo,254,Bakery,+20-1469141527
Charity_374,Upper Egypt,116,Vegetables,+20-1466171220
Charity_375,Mansoura,325,Dairy,+20-1446946056
Charity_376,Giza,356,Fruits,+20-1197006089
Charity_377,Giza,308,Fruits,+20-1360318076
Charity_378,Mansoura,416,Meat,+20-1135440208
Charity_379,Mansoura,491,Fruits,+20-1372524696
Charity_380,Delta,473,Bakery,+20-1461133470
Charity_381,Alexandria,322,Dairy,+20-1937381589
Charity_382,Alexandria,175,Meat,+20-1225034990
Charity_383,Delta,373,Bakery,+20-1941064931
Charity_384,Cairo,181,Vegetables,+20-1488812650
Charity_385,Alexandria,209,Vegetables,+20-1668446743
Charity_386,Cairo,215,Vegetables,+20-1576812652
Charity_387,Mansoura,439,Fruits,+20-1241747015
Charity_388,Alexandria,220,Meat,+20-1615043106
Charity_389,Delta,490,Dairy,+20-1691254392
Charity_390,Delta,376,Dairy,+20-1684498292
Charity_391,Mansoura,64,Vegetables,+20-1145143576
Charity_392,Giza,419,Bakery,+20-1239652351
Charity_393,Giza,112,Vegetables,+20-1180703238
Charity_394,Mansoura,67,Meat,+20-1767257628
Charity_395,Upper Egypt,216,Bakery,+20-1530875143
Charity_396,Mansoura,156,Bakery,+20-1932886336
Charity_397,Delta,388,Vegetables,+20-1679762155
Charity_398,Mansoura,339,Bakery,+20-1934014168
Charity_399,Mansoura,131,Bakery,+20-1633717363
Charity_400,Giza,473,Meat,+20-1370151616
Charity_401,Giza,462,Fruits,+20-1709223875
Charity_402,Alexandria,458,Dairy,+20-1286488707
Charity_403,Delta,468,Meat,+20-1608834927
Charity_404,Upper Egypt,345,Dairy,+20-1432548063
Charity_405,Alexandria,108,Dairy,+20-1108957120
Charity_406,Giza,149,Vegetables,+20-1681862817
Charity_407,Delta,309,Meat,+20-1605740329
Charity_408,Cairo,59,Fruits,+20-1184375586
Charity_409,Upper Egypt,71,Vegetables,+20-1665938224
Charity_410,Mansoura,209,Fruits,+20-1835271285
Charity_411,Cairo,126,Meat,+20-1257989915
Charity_412,Upper Egypt,131,Meat,+20-1188335734
Charity_413,Upper Egypt,300,Fruits,+20-1419499873
Charity_414,Alexandria,189,Meat,+20-1527723815
Charity_415,Alexandria,321,Dairy,+20-1765198077
Charity_416,Giza,387,Meat,+20-1159650257
Charity_417,Alexandria,257,Dairy,+20-1241313055
Charity_418,Mansoura,213,Meat,+20-1937431590
Charity_419,Cairo,232,Vegetables,+20-1535674804
Charity_420,Upper Egypt,398,Bakery,+20-1580302423
Charity_421,Alexandria,191,Vegetables,+20-1986091105
Charity_422,Cairo,167,Dairy,+20-1159487622
Charity_423,Mansoura,323,Fruits,+20-1413913415
Charity_424,Upper Egypt,327,Vegetables,+20-1316534203
Charity_425,Cairo,343,Fruits,+20-1645126493
Charity_426,Mansoura,122,Vegetables,+20-1839587442
Charity_427,Delta,160,Dairy,+20-1674353853
Charity_428,Upper Egypt,379,Meat,+20-1557676725
Charity_429,Cairo,457,Meat,+20-1378760265
Charity_430,Alexandria,278,Bakery,+20-1264850681
Charity_431,Giza,118,Dairy,+20-1621222806
Charity_432,Cairo,187,Bakery,+20-1467478195
Charity_433,Delta,410,Meat,+20-1766751583
Charity_434,Upper Egypt,285,Meat,+20-1202707466
Charity_435,Alexandria,72,Meat,+20-1707197001
Charity_436,Mansoura,304,Bakery,+20-1619033172
Charity_437,Upper Egypt,117,Meat,+20-1762955229
Charity_438,Giza,229,Meat,+20-1713597585
Charity_439,Giza,73,Meat,+20-1703819871
Charity_440,Giza,331,Fruits,+20-1235643510
Charity_441,Giza,166,Vegetables,+20-1706773699
Charity_442,Mansoura,480,Meat,+20-1992645294
Charity_443,Alexandria,344,Vegetables,+20-1909548558
Charity_444,Mansoura,349,Fruits,+20-1642798899
Charity_445,Giza,353,Meat,+20-1469013930
Charity_446,Delta,373,Fruits,+20-1446511440
Charity_447,Cairo,89,Dairy,+20-1326573048
Charity_448,Delta,380,Dairy,+20-1189423283
Charity_449,Alexandria,357,Vegetables,+20-1120827652
Charity_450,Mansoura,221,Dairy,+20-1425025868
Charity_451,Upper Egypt,489,Meat,+20-1950099000
Charity_452,Alexandria,143,Fruits,+20-1702678846
Charity_453,Mansoura,473,Vegetables,+20-1725802391
Charity_454,Mansoura,131,Dairy,+20-1239893582
Charity_455,Alexandria,357,Meat,+20-1655265685
Charity_456,Delta,171,Meat,+20-1290929805
Charity_457,Alexandria,384,Bakery,+20-1950109382
Charity_458,Mansoura,422,Dairy,+20-1353010546
Charity_459,Upper Egypt,272,Dairy,+20-1615413748
Charity_460,Giza,434,Fruits,+20-1418973243
Charity_461,Giza,375,Fruits,+20-1312120884
Charity_462,Upper Egypt,225,Fruits,+20-1768550205
Charity_463,Mansoura,315,Dairy,+20-1276942899
Charity_464,Delta,493,Dairy,+20-1488590565
Charity_465,Mansoura,106,Fruits,+20-1536047200
Charity_466,Upper Egypt,485,Fruits,+20-1339230170
Charity_467,Delta,493,Meat,+20-1996486198
Charity_468,Giza,364,Bakery,+20-1150331916
Charity_469,Giza,188,Bakery,+20-1795005253
Charity_470,Cairo,378,Fruits,+20-1234605410
Charity_471,Alexandria,291,Bakery,+20-1549641925
Charity_472,Cairo,370,Meat,+20-1874162472
Charity_473,Cairo,340,Fruits,+20-1110183118
Charity_474,Delta,83,Dairy,+20-1850547382
Charity_475,Alexandria,297,Vegetables,+20-1613122164
Charity_476,Mansoura,115,Fruits,+20-1280165951
Charity_477,Mansoura,245,Vegetables,+20-1235174163
Charity_478,Alexandria,183,Bakery,+20-1265130452
Charity_479,Cairo,163,Dairy,+20-1939548124
Charity_480,Delta,168,Meat,+20-1739341065
Charity_481,Cairo,417,Fruits,+20-1991403502
Charity_482,Upper Egypt,80,Meat,+20-1828823641
Charity_483,Alexandria,125,Dairy,+20-1359552189
Charity_484,Cairo,413,Meat,+20-1907606463
Charity_485,Mansoura,144,Vegetables,+20-1525203859
Charity_486,Alexandria,83,Fruits,+20-1627574783
Charity_487,Alexandria,265,Bakery,+20-1946065080
Charity_488,Cairo,499,Meat,+20-1780896642
Charity_489,Cairo,317,Fruits,+20-1235155873
Charity_490,Delta,458,Vegetables,+20-1333461156
Charity_491,Alexandria,362,Bakery,+20-1891306642
Charity_492,Alexandria,279,Fruits,+20-1275646884
Charity_493,Giza,344,Bakery,+20-1784372398
Charity_494,Giza,477,Fruits,+20-1761915446
Charity_495,Mansoura,400,Dairy,+20-1844682433
Charity_496,Mansoura,453,Dairy,+20-1956041059
Charity_497,Cairo,230,Vegetables,+20-1739014339
Charity_498,Cairo,454,Vegetables,+20-1278417333
Charity_499,Mansoura,443,Vegetables,+20-1896452140
Charity_500,Alexandria,288,Vegetables,+20-1532378701
Charity_501,Alexandria,55,Meat,+20-1872775112
Charity_502,Giza,123,Bakery,+20-1704267134
Charity_503,Cairo,344,Meat,+20-1855024113
Charity_504,Upper Egypt,78,Dairy,+20-1422781818
Charity_505,Mansoura,258,Meat,+20-1792478875
Charity_506,Alexandria,204,Vegetables,+20-1584912652
Charity_507,Delta,300,Vegetables,+20-1891933630
Charity_508,Upper Egypt,216,Fruits,+20-1378966292
Charity_509,Upper Egypt,76,Fruits,+20-1289017333
Charity_510,Upper Egypt,177,Meat,+20-1530089808
Charity_511,Delta,302,Bakery,+20-1254198191
Charity_512,Upper Egypt,411,Meat,+20-1888886023
Charity_513,Mansoura,276,Fruits,+20-1971260733
Charity_514,Alexandria,342,Vegetables,+20-1767838217
Charity_515,Giza,206,Vegetables,+20-1834342656
Charity_516,Delta,254,Bakery,+20-1120642389
Charity_517,Alexandria,213,Vegetables,+20-1893862134
Charity_518,Upper Egypt,352,Vegetables,+20-1949527899
Charity_519,Upper Egypt,227,Vegetables,+20-1651242041
Charity_520,Mansoura,335,Vegetables,+20-1459031225
Charity_521,Mansoura,151,Vegetables,+20-1988237335
Charity_522,Delta,100,Vegetables,+20-1364433958
Charity_523,Cairo,296,Vegetables,+20-1397677952
Charity_524,Alexandria,177,Vegetables,+20-1154195645
Charity_525,Giza,167,Dairy,+20-1433102802
